id,date,due_date,supplier_type,supplier_id,supplier_taxid,project_id,stock_subttl,stock_tax,stock_grandttl,expense_subttl,expense_tax,expense_grandttl,asset_subttl,asset_tax,asset_grandttl,grandtax,grandttl,status,paidttl,note,ins,user_id,doc_ref_type,doc_ref,po_id,created_at,updated_at,suppliername,tid,tax,amountpaid,is_tax_exc
1,2022-01-31,2022-03-03,supplier,8,NULL,NULL,0,0,0,687990,0,687990,0,0,0,0,687990,Paid,687990,Balance b/f,1,1,DNote,727,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,687990,1
2,2022-02-02,2022-03-05,supplier,8,NULL,87,0,0,0,1000,0,1000,0,0,0,0,1000,Paid,1000,Map gas@1000,1,1,DNote,736,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,1000,1
3,2022-02-03,2022-03-06,supplier,8,NULL,84,0,0,0,13000,0,13000,0,0,0,0,13000,Paid,13000,r 410 gas@13k,1,1,DNote,736,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,13000,1
4,2022-02-03,2022-03-06,supplier,8,NULL,181,0,0,0,10600,0,10600,0,0,0,0,10600,Paid,10600,"r 22 gas@9000,mapgas@1,000,1 screw pkt@300 and 1 wall plug 1 pkt@300",1,1,DNote,740,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,10600,1
5,2022-02-04,2022-03-07,supplier,8,NULL,23,0,0,0,9000,0,9000,0,0,0,0,9000,Paid,9000,R22 1 pc@9000,1,1,DNote,741,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,9000,1
6,2022-02-04,2022-03-07,supplier,8,NULL,23,0,0,0,9000,0,9000,0,0,0,0,9000,Paid,9000,R22 1pc@9000,1,1,DNote,743,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,9000,1
7,2022-02-05,2022-03-08,supplier,8,NULL,25,0,0,0,67000,0,67000,0,0,0,0,67000,Paid,67000,"36,000 btu r410 comp,rotary@37,000, 1pc universal card@2,200, 1  dp switch@500,R410 gas 2pcs @26,000,plus 1 pkt brazing rods@1300",1,1,DNote,745,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,67000,1
8,2022-02-08,2022-03-11,supplier,8,NULL,NULL,0,0,0,4000,0,4000,0,0,0,0,4000,Paid,4000,"clamp meter@4,000",1,1,DNote,749,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,4000,1
9,2022-02-09,2022-03-12,supplier,8,NULL,94,0,0,0,35150,0,35150,0,0,0,0,35150,Paid,35150,"24,000 Btu comp@22,000, 1pc r410 gas@13,000,copper rods c3 pcs@150",1,1,DNote,751,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,35150,1
10,2022-02-10,2022-03-13,supplier,8,NULL,125,0,0,0,9500,0,9500,0,0,0,0,9500,Paid,9500,"clamp meter@4,000 and Timer@5,500",1,1,DNote,755,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,9500,1
